invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total_amount
22,Walm088,Cleburne,Health And Beauty,87.98,3.0,2019-03-05,10:40:00,Ewallet,5.1,0.33,263.94
23,Walm083,Farmers Branch,Home And Lifestyle,33.2,2.0,2019-03-15,12:20:00,Credit Card,4.4,0.33,66.4
24,Walm067,Haltom City,Electronic Accessories,34.56,5.0,2019-02-17,11:15:00,Ewallet,9.9,0.33,172.8
25,Walm023,Midland,Sports And Travel,88.63,3.0,2019-03-02,17:36:00,Ewallet,6.0,0.48,265.89
26,Walm001,Houston,Home And Lifestyle,52.59,8.0,2019-03-22,19:20:00,Credit Card,8.5,0.36,420.72
27,Walm072,Lancaster,Fashion Accessories,33.52,1.0,2019-02-08,15:31:00,Cash,6.7,0.33,33.52
28,Walm046,Temple,Fashion Accessories,87.67,2.0,2019-03-10,12:17:00,Credit Card,7.7,0.48,175.34
29,Walm012,Garland,Food And Beverages,88.36,5.0,2019-01-25,19:48:00,Cash,9.6,0.48,441.8
30,Walm075,San Marcos,Health And Beauty,24.89,9.0,2019-03-15,15:36:00,Cash,7.4,0.33,224.01
31,Walm076,Huntsville,Fashion Accessories,94.13,5.0,2019-02-25,19:39:00,Credit Card,4.8,0.33,470.65
32,Walm098,Mineral Wells,Sports And Travel,78.07,9.0,2019-01-28,12:43:00,Cash,4.5,0.18,702.6299999999999
33,Walm021,Mcallen,Sports And Travel,83.78,8.0,2019-01-10,14:49:00,Cash,5.1,0.48,670.24
34,Walm096,Eagle Pass,Health And Beauty,96.58,2.0,2019-03-15,10:12:00,Credit Card,5.1,0.18,193.16
35,Walm022,Mesquite,Food And Beverages,99.42,4.0,2019-02-06,10:42:00,Ewallet,7.5,0.48,397.68
36,Walm095,Big Spring,Sports And Travel,68.12,1.0,2019-01-07,12:28:00,Ewallet,6.8,0.33,68.12
37,Walm041,Mission,Sports And Travel,62.62,5.0,2019-03-10,19:15:00,Ewallet,7.0,0.48,313.09999999999997
38,Walm070,Hurst,Electronic Accessories,60.88,9.0,2019-01-15,17:17:00,Ewallet,4.7,0.33,547.9200000000001
39,Walm070,Hurst,Health And Beauty,54.92,8.0,2019-03-23,13:24:00,Ewallet,7.6,0.33,439.36
40,Walm030,Richardson,Home And Lifestyle,30.12,8.0,2019-03-03,13:01:00,Cash,7.7,0.48,240.96
41,Walm033,Pearland,Home And Lifestyle,86.72,1.0,2019-01-17,18:45:00,Ewallet,7.9,0.48,86.72
42,Walm088,Cleburne,Home And Lifestyle,56.11,2.0,2019-02-02,10:11:00,Cash,6.3,0.33,112.22
43,Walm079,La Porte,Sports And Travel,69.12,6.0,2019-02-08,13:03:00,Cash,5.6,0.33,414.72
44,Walm042,Bryan,Food And Beverages,98.7,8.0,2019-03-04,20:39:00,Cash,7.6,0.48,789.6
45,Walm036,Allen,Health And Beauty,15.37,2.0,2019-03-16,19:47:00,Cash,7.2,0.48,30.74
46,Walm056,Rowlett,Electronic Accessories,93.96,4.0,2019-03-09,18:00:00,Cash,9.5,0.33,375.84
47,Walm058,Port Arthur,Health And Beauty,56.69,9.0,2019-02-27,17:24:00,Credit Card,8.4,0.33,510.21
48,Walm015,Grand Prairie,Food And Beverages,20.01,9.0,2019-02-06,15:47:00,Ewallet,4.1,0.48,180.09
49,Walm063,Georgetown,Electronic Accessories,18.93,6.0,2019-02-10,12:45:00,Credit Card,8.1,0.33,113.58
50,Walm021,Mcallen,Fashion Accessories,82.63,10.0,2019-03-19,17:08:00,Ewallet,7.9,0.48,826.3
51,Walm089,Southlake,Food And Beverages,91.4,7.0,2019-02-03,10:19:00,Cash,9.5,0.33,639.8000000000001
52,Walm093,Angleton,Food And Beverages,44.59,5.0,2019-02-10,15:10:00,Cash,8.5,0.33,222.95000000000002
53,Walm041,Mission,Fashion Accessories,17.87,4.0,2019-03-22,14:42:00,Ewallet,6.5,0.48,71.48
54,Walm045,Missouri City,Fashion Accessories,15.43,1.0,2019-01-25,15:46:00,Credit Card,6.1,0.48,15.43
55,Walm005,Fort Worth,Home And Lifestyle,16.16,2.0,2019-03-07,11:49:00,Ewallet,6.5,0.48,32.32
56,Walm042,Bryan,Electronic Accessories,85.98,8.0,2019-02-28,19:01:00,Cash,8.2,0.48,687.84
57,Walm003,San Antonio,Home And Lifestyle,44.34,2.0,2019-03-27,11:26:00,Cash,5.8,0.36,88.68
58,Walm070,Hurst,Health And Beauty,89.6,8.0,2019-02-07,11:28:00,Ewallet,6.6,0.33,716.8
59,Walm066,Grapevine,Home And Lifestyle,72.35,10.0,2019-01-20,15:55:00,Cash,5.4,0.33,723.5
60,Walm031,Lewisville,Electronic Accessories,30.61,6.0,2019-03-12,20:36:00,Cash,9.3,0.48,183.66
61,Walm042,Bryan,Sports And Travel,24.74,3.0,2019-02-15,17:47:00,Credit Card,10.0,0.48,74.22
62,Walm078,Del Rio,Home And Lifestyle,55.73,6.0,2019-02-24,10:55:00,Ewallet,7.0,0.33,334.38
63,Walm037,League City,Sports And Travel,55.07,9.0,2019-02-03,13:40:00,Ewallet,10.0,0.48,495.63
64,Walm069,Rockwall,Sports And Travel,15.81,10.0,2019-03-06,12:27:00,Credit Card,8.6,0.33,158.1
65,Walm087,Waxahachie,Health And Beauty,75.74,4.0,2019-02-14,14:35:00,Cash,7.6,0.33,302.96
66,Walm042,Bryan,Health And Beauty,15.87,10.0,2019-03-13,16:40:00,Cash,5.8,0.48,158.7
67,Walm020,Killeen,Health And Beauty,33.47,2.0,2019-02-10,15:43:00,Ewallet,6.7,0.48,66.94
68,Walm029,Round Rock,Fashion Accessories,97.61,6.0,2019-01-07,15:01:00,Ewallet,9.9,0.48,585.66
69,Walm079,La Porte,Sports And Travel,78.77,10.0,2019-01-24,10:04:00,Cash,6.4,0.33,787.6999999999999
70,Walm035,San Angelo,Health And Beauty,18.33,1.0,2019-02-02,18:50:00,Cash,4.3,0.48,18.33
71,Walm007,Arlington,Food And Beverages,89.48,10.0,2019-01-06,12:46:00,Credit Card,9.6,0.48,894.8000000000001
72,Walm017,Mckinney,Fashion Accessories,62.12,10.0,2019-02-11,16:19:00,Cash,5.9,0.48,621.1999999999999
73,Walm096,Eagle Pass,Food And Beverages,48.52,3.0,2019-03-05,18:17:00,Ewallet,4.0,0.18,145.56
74,Walm083,Farmers Branch,Electronic Accessories,75.91,6.0,2019-03-09,18:21:00,Cash,8.7,0.33,455.46
75,Walm072,Lancaster,Home And Lifestyle,74.67,9.0,2019-01-22,10:55:00,Ewallet,9.4,0.33,672.03
76,Walm003,San Antonio,Electronic Accessories,41.65,10.0,2019-01-13,17:04:00,Credit Card,5.4,0.48,416.5
77,Walm058,Port Arthur,Fashion Accessories,49.04,9.0,2019-01-09,14:20:00,Credit Card,8.6,0.33,441.36
78,Walm094,Alamo,Fashion Accessories,20.01,9.0,2019-01-12,15:48:00,Credit Card,5.7,0.33,180.09
79,Walm063,Georgetown,Food And Beverages,78.31,10.0,2019-03-05,16:24:00,Ewallet,6.6,0.33,783.1
80,Walm071,Lufkin,Health And Beauty,20.38,5.0,2019-01-22,18:56:00,Cash,6.0,0.33,101.89999999999999
81,Walm061,Cedar Park,Health And Beauty,99.19,6.0,2019-01-21,14:42:00,Credit Card,5.5,0.33,595.14
82,Walm090,Brownwood,Food And Beverages,96.68,3.0,2019-01-26,19:56:00,Ewallet,6.4,0.33,290.04
83,Walm061,Cedar Park,Food And Beverages,19.25,8.0,2019-01-23,18:37:00,Ewallet,6.6,0.33,154.0
84,Walm041,Mission,Food And Beverages,80.36,4.0,2019-02-23,18:45:00,Ewallet,8.3,0.48,321.44
85,Walm097,Alice,Sports And Travel,48.91,5.0,2019-03-09,10:17:00,Cash,6.6,0.18,244.54999999999998
86,Walm043,Baytown,Sports And Travel,83.06,7.0,2019-03-05,14:31:00,Ewallet,4.0,0.48,581.4200000000001
87,Walm042,Bryan,Fashion Accessories,76.52,5.0,2019-03-25,10:23:00,Cash,9.9,0.48,382.59999999999997
88,Walm046,Temple,Food And Beverages,49.38,7.0,2019-03-27,20:35:00,Credit Card,7.3,0.48,345.66
89,Walm011,Lubbock,Sports And Travel,42.47,1.0,2019-01-02,16:57:00,Cash,5.7,0.48,42.47
90,Walm064,Bedford,Health And Beauty,76.99,6.0,2019-02-27,17:55:00,Cash,6.1,0.33,461.93999999999994
91,Walm095,Big Spring,Home And Lifestyle,47.38,4.0,2019-01-23,10:25:00,Cash,7.1,0.33,189.52
92,Walm049,North Richland Hills,Sports And Travel,44.86,10.0,2019-01-26,19:54:00,Ewallet,8.2,0.48,448.6
93,Walm040,Edinburg,Sports And Travel,21.98,7.0,2019-01-10,16:42:00,Ewallet,5.1,0.48,153.86
94,Walm065,Texas City,Health And Beauty,64.36,9.0,2019-03-12,12:09:00,Credit Card,8.6,0.33,579.24
95,Walm075,San Marcos,Health And Beauty,89.75,1.0,2019-02-06,20:05:00,Credit Card,6.6,0.33,89.75
96,Walm034,College Station,Electronic Accessories,97.16,1.0,2019-03-08,20:38:00,Ewallet,7.2,0.48,97.16
97,Walm014,Amarillo,Health And Beauty,87.87,10.0,2019-03-29,10:25:00,Ewallet,5.1,0.48,878.7
98,Walm096,Eagle Pass,Electronic Accessories,12.45,6.0,2019-02-09,13:11:00,Cash,4.1,0.18,74.69999999999999
99,Walm004,Austin,Food And Beverages,52.75,3.0,2019-03-23,10:16:00,Ewallet,9.3,0.48,158.25
100,Walm011,Lubbock,Home And Lifestyle,82.7,6.0,2019-03-05,18:14:00,Cash,7.4,0.48,496.20000000000005
101,Walm075,San Marcos,Fashion Accessories,48.71,1.0,2019-03-26,19:20:00,Cash,4.1,0.33,48.71
102,Walm057,Euless,Fashion Accessories,78.55,9.0,2019-03-01,13:22:00,Cash,7.2,0.33,706.9499999999999
103,Walm023,Midland,Electronic Accessories,23.07,9.0,2019-02-01,11:27:00,Cash,4.9,0.48,207.63
104,Walm012,Garland,Food And Beverages,58.26,6.0,2019-03-28,16:44:00,Cash,9.9,0.48,349.56
105,Walm078,Del Rio,Health And Beauty,30.35,7.0,2019-03-19,18:19:00,Cash,8.0,0.33,212.45000000000002
106,Walm055,Waxahachie,Electronic Accessories,88.67,10.0,2019-01-12,14:50:00,Ewallet,7.3,0.33,886.7
107,Walm038,Sugar Land,Fashion Accessories,27.38,6.0,2019-01-05,20:54:00,Credit Card,7.9,0.48,164.28
108,Walm049,North Richland Hills,Sports And Travel,62.13,6.0,2019-03-22,20:19:00,Cash,7.4,0.48,372.78000000000003
109,Walm044,Pharr,Food And Beverages,33.98,9.0,2019-03-24,10:43:00,Cash,4.2,0.48,305.82
110,Walm056,Rowlett,Electronic Accessories,81.97,10.0,2019-03-03,14:30:00,Cash,9.2,0.33,819.7
111,Walm007,Arlington,Sports And Travel,16.49,2.0,2019-02-05,11:32:00,Ewallet,4.6,0.48,32.98
112,Walm025,Waco,Health And Beauty,98.21,3.0,2019-02-05,10:41:00,Credit Card,7.8,0.48,294.63
113,Walm005,Fort Worth,Fashion Accessories,72.84,7.0,2019-02-15,12:44:00,Cash,8.4,0.48,509.88
114,Walm024,Carrollton,Home And Lifestyle,58.07,9.0,2019-01-19,20:07:00,Ewallet,4.3,0.48,522.63
115,Walm003,San Antonio,Home And Lifestyle,80.79,9.0,2019-02-01,20:31:00,Credit Card,9.5,0.36,727.11
116,Walm087,Waxahachie,Fashion Accessories,27.02,3.0,2019-03-02,13:01:00,Credit Card,7.1,0.33,81.06
117,Walm040,Edinburg,Fashion Accessories,21.94,5.0,2019-03-05,12:29:00,Ewallet,5.3,0.48,109.7
118,Walm071,Lufkin,Fashion Accessories,51.36,1.0,2019-01-16,15:26:00,Ewallet,5.2,0.33,51.36
119,Walm027,Abilene,Food And Beverages,10.96,10.0,2019-02-02,20:48:00,Ewallet,6.0,0.48,109.60000000000001
120,Walm071,Lufkin,Home And Lifestyle,53.44,2.0,2019-01-20,20:38:00,Ewallet,4.1,0.33,106.88
121,Walm014,Amarillo,Electronic Accessories,99.56,8.0,2019-02-14,17:03:00,Credit Card,5.2,0.48,796.48
122,Walm069,Rockwall,Sports And Travel,57.12,7.0,2019-01-12,12:02:00,Credit Card,6.5,0.33,399.84
123,Walm085,Kerrville,Sports And Travel,99.96,9.0,2019-03-09,17:26:00,Credit Card,4.2,0.33,899.64
124,Walm061,Cedar Park,Home And Lifestyle,63.91,8.0,2019-03-13,19:52:00,Credit Card,4.6,0.33,511.28
125,Walm088,Cleburne,Fashion Accessories,56.47,8.0,2019-03-09,14:57:00,Ewallet,7.3,0.33,451.76
126,Walm034,College Station,Home And Lifestyle,93.69,7.0,2019-03-10,18:44:00,Credit Card,4.5,0.48,655.8299999999999
127,Walm016,Brownsville,Sports And Travel,32.25,5.0,2019-01-27,13:26:00,Cash,9.0,0.48,161.25
128,Walm044,Pharr,Fashion Accessories,31.73,9.0,2019-01-08,16:17:00,Credit Card,5.9,0.48,285.57
129,Walm035,San Angelo,Food And Beverages,68.54,8.0,2019-01-08,15:57:00,Ewallet,8.5,0.48,548.32
130,Walm018,Frisco,Sports And Travel,90.28,9.0,2019-02-08,11:15:00,Ewallet,7.2,0.48,812.52
131,Walm022,Mesquite,Fashion Accessories,39.62,7.0,2019-01-25,13:18:00,Cash,7.5,0.48,277.34
132,Walm068,Burleson,Sports And Travel,92.13,6.0,2019-03-06,20:34:00,Cash,8.3,0.33,552.78
133,Walm055,Waxahachie,Sports And Travel,34.84,4.0,2019-02-10,18:36:00,Cash,7.4,0.33,139.36
134,Walm002,Dallas,Electronic Accessories,87.45,6.0,2019-02-17,14:40:00,Credit Card,8.8,0.36,524.7
135,Walm062,Galveston,Health And Beauty,81.3,6.0,2019-03-08,16:43:00,Ewallet,5.3,0.33,487.79999999999995
136,Walm098,Mineral Wells,Fashion Accessories,90.22,3.0,2019-02-18,19:39:00,Cash,6.2,0.18,270.65999999999997
137,Walm027,Abilene,Electronic Accessories,26.31,5.0,2019-01-18,20:59:00,Credit Card,8.8,0.48,131.54999999999998
138,Walm093,Angleton,Home And Lifestyle,34.42,6.0,2019-02-18,15:39:00,Cash,9.8,0.33,206.52
139,Walm029,Round Rock,Sports And Travel,51.91,10.0,2019-02-16,12:21:00,Cash,8.2,0.48,519.0999999999999
140,Walm016,Brownsville,Sports And Travel,72.5,8.0,2019-03-16,19:25:00,Ewallet,9.2,0.48,580.0
141,Walm023,Midland,Sports And Travel,89.8,10.0,2019-01-23,13:00:00,Credit Card,5.4,0.48,898.0
142,Walm012,Garland,Health And Beauty,90.5,10.0,2019-01-25,13:48:00,Cash,8.1,0.48,905.0
143,Walm052,Mansfield,Health And Beauty,68.6,10.0,2019-02-05,19:57:00,Cash,9.1,0.57,686.0
144,Walm097,Alice,Food And Beverages,30.41,1.0,2019-02-22,10:36:00,Credit Card,8.4,0.18,30.41
145,Walm045,Missouri City,Home And Lifestyle,77.95,6.0,2019-01-21,16:37:00,Credit Card,8.0,0.48,467.70000000000005
146,Walm047,Flower Mound,Health And Beauty,46.26,6.0,2019-03-08,17:11:00,Credit Card,9.5,0.48,277.56
147,Walm026,Denton,Fashion Accessories,30.14,10.0,2019-02-10,12:28:00,Ewallet,9.2,0.48,301.4
148,Walm054,Sherman,Health And Beauty,66.14,4.0,2019-03-19,12:46:00,Credit Card,5.6,0.21,264.56
149,Walm049,North Richland Hills,Home And Lifestyle,71.86,8.0,2019-03-06,15:07:00,Credit Card,6.2,0.48,574.88
150,Walm065,Texas City,Health And Beauty,32.46,8.0,2019-03-27,13:48:00,Credit Card,4.9,0.33,259.68
151,Walm016,Brownsville,Fashion Accessories,91.54,4.0,2019-03-23,19:20:00,Credit Card,4.8,0.48,366.16
152,Walm070,Hurst,Sports And Travel,34.56,7.0,2019-03-11,16:07:00,Credit Card,7.3,0.33,241.92000000000002
153,Walm099,Weatherford,Fashion Accessories,83.24,9.0,2019-01-29,11:56:00,Credit Card,7.4,0.18,749.16
154,Walm071,Lufkin,Food And Beverages,16.48,6.0,2019-02-07,18:23:00,Ewallet,9.9,0.33,98.88
155,Walm078,Del Rio,Sports And Travel,80.97,8.0,2019-01-28,13:05:00,Cash,9.3,0.33,647.76
156,Walm074,Weslaco,Food And Beverages,92.29,5.0,2019-02-20,15:55:00,Cash,9.0,0.33,461.45000000000005
157,Walm042,Bryan,Electronic Accessories,72.17,1.0,2019-01-04,19:40:00,Cash,6.1,0.48,72.17
158,Walm013,Irving,Home And Lifestyle,50.28,5.0,2019-03-07,13:58:00,Ewallet,9.7,0.48,251.4
159,Walm100,Canyon,Health And Beauty,97.22,9.0,2019-03-30,14:43:00,Ewallet,6.0,0.18,874.98
160,Walm094,Alamo,Sports And Travel,93.39,6.0,2019-03-27,19:18:00,Ewallet,10.0,0.33,560.34
161,Walm028,Odessa,Food And Beverages,43.18,8.0,2019-01-19,19:39:00,Credit Card,8.3,0.48,345.44
162,Walm019,Pasadena,Sports And Travel,63.69,1.0,2019-02-25,16:21:00,Cash,6.0,0.48,63.69
163,Walm011,Lubbock,Food And Beverages,45.79,7.0,2019-03-13,19:44:00,Credit Card,7.0,0.48,320.53
164,Walm084,Schertz,Sports And Travel,76.4,2.0,2019-01-30,19:42:00,Ewallet,6.5,0.33,152.8
165,Walm057,Euless,Food And Beverages,39.9,10.0,2019-02-20,15:24:00,Credit Card,5.9,0.33,399.0
166,Walm088,Cleburne,Health And Beauty,42.57,8.0,2019-02-25,14:12:00,Ewallet,5.6,0.33,340.56
167,Walm061,Cedar Park,Home And Lifestyle,95.58,10.0,2019-01-16,13:32:00,Cash,4.8,0.33,955.8
168,Walm040,Edinburg,Fashion Accessories,98.98,10.0,2019-02-08,16:20:00,Credit Card,8.7,0.48,989.8000000000001
169,Walm069,Rockwall,Food And Beverages,51.28,6.0,2019-01-19,16:31:00,Cash,6.5,0.33,307.68
170,Walm089,Southlake,Sports And Travel,69.52,7.0,2019-02-01,15:10:00,Credit Card,8.5,0.33,486.64
171,Walm031,Lewisville,Health And Beauty,70.01,5.0,2019-01-03,11:36:00,Ewallet,5.5,0.48,350.05
172,Walm039,Longview,Food And Beverages,80.05,5.0,2019-01-26,12:45:00,Credit Card,9.4,0.48,400.25
173,Walm039,Longview,Electronic Accessories,20.85,8.0,2019-03-03,19:17:00,Cash,6.3,0.48,166.8
174,Walm047,Flower Mound,Electronic Accessories,52.89,6.0,2019-01-19,17:34:00,Credit Card,9.8,0.48,317.34000000000003
175,Walm071,Lufkin,Food And Beverages,19.79,8.0,2019-01-18,12:04:00,Ewallet,8.7,0.33,158.32
176,Walm060,Desoto,Home And Lifestyle,33.84,9.0,2019-03-21,16:21:00,Ewallet,8.8,0.33,304.56000000000006
177,Walm073,Seguin,Food And Beverages,22.17,8.0,2019-03-03,17:01:00,Credit Card,9.6,0.33,177.36
178,Walm059,Pflugerville,Fashion Accessories,22.51,7.0,2019-02-13,10:50:00,Credit Card,4.8,0.33,157.57000000000002
179,Walm012,Garland,Food And Beverages,73.88,6.0,2019-03-23,19:16:00,Ewallet,4.4,0.48,443.28
180,Walm086,Rosenberg,Health And Beauty,86.8,3.0,2019-01-28,16:47:00,Ewallet,9.9,0.33,260.4
181,Walm073,Seguin,Fashion Accessories,64.26,7.0,2019-02-09,10:00:00,Cash,5.7,0.33,449.82000000000005
182,Walm028,Odessa,Food And Beverages,38.47,8.0,2019-01-23,11:51:00,Cash,7.7,0.48,307.76
183,Walm053,Conroe,Sports And Travel,15.5,10.0,2019-03-23,10:55:00,Ewallet,8.0,0.57,155.0
184,Walm024,Carrollton,Health And Beauty,34.31,8.0,2019-01-25,15:00:00,Ewallet,5.7,0.48,274.48
185,Walm097,Alice,Sports And Travel,12.34,7.0,2019-03-04,11:19:00,Credit Card,6.7,0.18,86.38
186,Walm072,Lancaster,Food And Beverages,18.08,3.0,2019-03-05,19:46:00,Ewallet,8.0,0.33,54.239999999999995
187,Walm023,Midland,Home And Lifestyle,94.49,8.0,2019-03-03,19:00:00,Ewallet,7.5,0.48,755.92
188,Walm038,Sugar Land,Home And Lifestyle,46.47,4.0,2019-02-08,10:53:00,Cash,7.0,0.48,185.88
189,Walm078,Del Rio,Home And Lifestyle,74.07,1.0,2019-02-10,12:50:00,Ewallet,9.9,0.33,74.07
190,Walm084,Schertz,Home And Lifestyle,69.81,4.0,2019-01-28,20:50:00,Credit Card,5.9,0.33,279.24
191,Walm059,Pflugerville,Home And Lifestyle,77.04,3.0,2019-02-11,10:39:00,Credit Card,7.2,0.33,231.12
192,Walm062,Galveston,Fashion Accessories,73.52,2.0,2019-01-15,13:41:00,Ewallet,4.6,0.33,147.04
193,Walm090,Brownwood,Food And Beverages,87.8,9.0,2019-03-16,19:08:00,Cash,9.2,0.33,790.1999999999999
194,Walm015,Grand Prairie,Home And Lifestyle,25.55,4.0,2019-01-26,20:23:00,Ewallet,5.7,0.48,102.2
195,Walm003,San Antonio,Electronic Accessories,32.71,5.0,2019-03-19,11:30:00,Credit Card,9.9,0.48,163.55
196,Walm066,Grapevine,Fashion Accessories,74.29,1.0,2019-01-13,19:30:00,Cash,5.0,0.33,74.29
197,Walm079,La Porte,Health And Beauty,43.7,2.0,2019-03-26,18:03:00,Cash,4.9,0.33,87.4
198,Walm002,Dallas,Home And Lifestyle,25.29,1.0,2019-03-23,10:13:00,Ewallet,6.1,0.36,25.29
199,Walm094,Alamo,Health And Beauty,41.5,4.0,2019-03-12,19:58:00,Credit Card,8.2,0.33,166.0
200,Walm047,Flower Mound,Food And Beverages,71.39,5.0,2019-02-17,19:57:00,Credit Card,5.5,0.48,356.95
201,Walm100,Canyon,Sports And Travel,19.15,6.0,2019-01-29,10:01:00,Credit Card,6.8,0.18,114.89999999999999
202,Walm005,Fort Worth,Electronic Accessories,57.49,4.0,2019-03-15,11:57:00,Cash,6.6,0.48,229.96
203,Walm086,Rosenberg,Electronic Accessories,61.41,7.0,2019-01-14,10:02:00,Cash,9.8,0.33,429.87
204,Walm029,Round Rock,Health And Beauty,25.9,10.0,2019-02-06,14:51:00,Ewallet,8.7,0.48,259.0
205,Walm065,Texas City,Home And Lifestyle,17.77,5.0,2019-02-15,12:42:00,Credit Card,5.4,0.33,88.85
206,Walm085,Kerrville,Health And Beauty,23.03,9.0,2019-01-03,12:02:00,Ewallet,7.9,0.33,207.27
207,Walm034,College Station,Electronic Accessories,66.65,9.0,2019-01-04,18:19:00,Credit Card,9.7,0.48,599.85
208,Walm055,Waxahachie,Home And Lifestyle,28.53,10.0,2019-03-18,17:38:00,Ewallet,7.8,0.33,285.3
209,Walm043,Baytown,Fashion Accessories,30.37,3.0,2019-03-28,13:41:00,Ewallet,5.1,0.48,91.11
210,Walm003,San Antonio,Electronic Accessories,99.73,9.0,2019-03-02,19:42:00,Credit Card,6.5,0.48,897.57
211,Walm050,Victoria,Electronic Accessories,26.23,9.0,2019-01-25,20:24:00,Ewallet,5.9,0.48,236.07
212,Walm057,Euless,Food And Beverages,93.26,9.0,2019-01-16,18:08:00,Cash,8.8,0.33,839.34
213,Walm088,Cleburne,Home And Lifestyle,92.36,5.0,2019-03-20,19:17:00,Ewallet,4.9,0.33,461.8
214,Walm093,Angleton,Sports And Travel,46.42,3.0,2019-01-04,13:24:00,Credit Card,4.4,0.33,139.26
215,Walm065,Texas City,Sports And Travel,29.61,7.0,2019-03-11,15:53:00,Cash,6.5,0.33,207.26999999999998
216,Walm072,Lancaster,Home And Lifestyle,18.28,1.0,2019-03-22,15:05:00,Credit Card,8.3,0.33,18.28
217,Walm038,Sugar Land,Sports And Travel,24.77,5.0,2019-03-24,18:27:00,Cash,8.5,0.48,123.85
218,Walm081,Friendswood,Electronic Accessories,94.64,3.0,2019-02-21,16:55:00,Cash,5.5,0.33,283.92
219,Walm043,Baytown,Fashion Accessories,94.87,8.0,2019-02-12,12:58:00,Ewallet,8.7,0.48,758.96
220,Walm044,Pharr,Food And Beverages,57.34,3.0,2019-03-10,18:59:00,Credit Card,7.9,0.48,172.02
221,Walm002,Dallas,Electronic Accessories,45.35,6.0,2019-01-31,13:44:00,Ewallet,6.1,0.36,272.1
222,Walm056,Rowlett,Food And Beverages,62.08,7.0,2019-03-06,13:46:00,Ewallet,5.4,0.33,434.56
223,Walm020,Killeen,Electronic Accessories,11.81,5.0,2019-02-17,18:06:00,Cash,9.4,0.48,59.050000000000004
224,Walm026,Denton,Fashion Accessories,12.54,1.0,2019-02-21,12:38:00,Cash,8.2,0.48,12.54
225,Walm003,San Antonio,Food And Beverages,43.25,2.0,2019-03-20,15:56:00,Cash,6.2,0.48,86.5
226,Walm067,Haltom City,Sports And Travel,87.16,2.0,2019-01-11,14:29:00,Credit Card,9.7,0.33,174.32
227,Walm059,Pflugerville,Health And Beauty,69.37,9.0,2019-01-26,19:14:00,Ewallet,4.0,0.33,624.33
228,Walm068,Burleson,Electronic Accessories,37.06,4.0,2019-01-31,16:24:00,Ewallet,9.7,0.33,148.24
229,Walm049,North Richland Hills,Electronic Accessories,90.7,6.0,2019-02-26,10:52:00,Cash,5.3,0.48,544.2
230,Walm087,Waxahachie,Home And Lifestyle,63.42,8.0,2019-03-11,12:55:00,Ewallet,7.4,0.33,507.36
